Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,nov_header.message_name,nov_header.message_id,nov_header.message_type,nov_header.sequence_number,nov_header.time_status,nov_header.gps_week_number,nov_header.gps_week_milliseconds,latitude,longitude,height,north_velocity,east_velocity,up_velocity,roll,pitch,azimuth,status.status
1698855811.57787,24732,1698855811,577872991,novatel_imu_link,INSPVA,508,0,0,20,2286,318229760,44.2411456583,-76.5101283085,72.7146224976,0.224,8.2827262878,0.0388423316,0.8879154767,0.5455350747,88.273617805,3
1698855811.59787,24733,1698855811,597872972,novatel_imu_link,INSPVA,508,0,0,20,2286,318229780,44.2411456996,-76.5101262326,72.7154312134,0.222,8.2954969406,0.0422821119,0.8806104774,0.5527943615,88.2857091669,3
1698855811.61787,24734,1698855811,617872953,novatel_imu_link,INSPVA,508,0,0,20,2286,318229800,44.24114574,-76.5101241531,72.7163009644,0.221,8.3094024658,0.0444888286,0.8747767253,0.556102415,88.295309647,3
1698855811.63787,24735,1698855811,637872934,novatel_imu_link,INSPVA,508,0,0,20,2286,318229820,44.2411457808,-76.5101220703,72.7172241211,0.218,8.32051754,0.0483052768,0.874959616,0.5526647829,88.3053358394,3
1698855811.65787,24736,1698855811,657872915,novatel_imu_link,INSPVA,508,0,0,20,2286,318229840,44.2411458208,-76.510119985,72.7182235718,0.216,8.332444191,0.0507269576,0.8762770533,0.5506495899,88.3128628995,3
1698855811.67787,24737,1698855811,677872896,novatel_imu_link,INSPVA,508,0,0,20,2286,318229860,44.2411458608,-76.5101178964,72.7192306519,0.216,8.3436136246,0.0510602631,0.8764505427,0.5415109462,88.3197459115,3
1698855811.69787,24738,1698855811,697872877,novatel_imu_link,INSPVA,508,0,0,20,2286,318229880,44.2411459018,-76.5101158053,72.7202758789,0.225,8.3547058105,0.0534259416,0.872509687,0.5335904322,88.3250543609,3
1698855811.71787,24739,1698855811,717872858,novatel_imu_link,INSPVA,508,0,0,20,2286,318229900,44.2411459437,-76.5101137119,72.7213363647,0.23,8.3590040207,0.0532759391,0.8603136126,0.522585924,88.3278300919,3
1698855811.73787,24740,1698855811,737872838,novatel_imu_link,INSPVA,508,0,0,20,2286,318229920,44.2411459874,-76.5101116169,72.7224273682,0.237,8.3706674576,0.0561562926,0.840382013,0.516848026,88.3299742029,3
1698855811.75787,24741,1698855811,757872819,novatel_imu_link,INSPVA,508,0,0,20,2286,318229940,44.2411460316,-76.5101095197,72.723526001,0.24,8.3742275238,0.0540659688,0.8144124329,0.5068156371,88.329348991,3
1698855811.77787,24742,1698855811,777872800,novatel_imu_link,INSPVA,508,0,0,20,2286,318229960,44.2411460765,-76.5101074209,72.7246398926,0.241,8.3848209381,0.0575568415,0.7896153438,0.500819117,88.3286976553,3
1698855811.79787,24743,1698855811,797872781,novatel_imu_link,INSPVA,508,0,0,20,2286,318229980,44.2411461217,-76.5101053205,72.725769043,0.243,8.3880462646,0.0563572533,0.7638058663,0.4970422656,88.3264073123,3
1698855811.81787,24744,1698855811,817872762,novatel_imu_link,INSPVA,508,0,0,20,2286,318230000,44.2411461672,-76.5101032173,72.7269134521,0.239,8.3991136551,0.0565998405,0.7405536798,0.4917696756,88.3256668184,3
1698855811.83787,24745,1698855811,837872743,novatel_imu_link,INSPVA,508,0,0,20,2286,318230020,44.2411462124,-76.5101011131,72.7280426025,0.24,8.4042692184,0.0570770204,0.7197090678,0.4903228491,88.3277870953,3
1698855811.85787,24746,1698855811,857872724,novatel_imu_link,INSPVA,508,0,0,20,2286,318230040,44.2411462566,-76.5100990067,72.7291641235,0.232,8.4155845642,0.0544400811,0.7057060856,0.4868496866,88.330568467,3
1698855811.87787,24747,1698855811,877872705,novatel_imu_link,INSPVA,508,0,0,20,2286,318230060,44.2411463003,-76.5100968976,72.7302322388,0.231,8.4260053635,0.0550851524,0.6965104247,0.4800477812,88.3336407822,3
1698855811.89787,24748,1698855811,897872686,novatel_imu_link,INSPVA,508,0,0,20,2286,318230080,44.2411463431,-76.5100947862,72.7313308716,0.224,8.4326019287,0.0537007339,0.6923037597,0.474557471,88.3353011015,3
1698855811.91787,24749,1698855811,917872667,novatel_imu_link,INSPVA,508,0,0,20,2286,318230100,44.2411463854,-76.5100926725,72.7323226929,0.223,8.4444971085,0.0488444939,0.6923353614,0.4665263017,88.3376642199,3
1698855811.93787,24750,1698855811,937872648,novatel_imu_link,INSPVA,508,0,0,20,2286,318230120,44.2411464274,-76.5100905565,72.733291626,0.224,8.4526309967,0.0482454002,0.6906526938,0.4583391345,88.3384842282,3
1698855811.95787,24751,1698855811,957872629,novatel_imu_link,INSPVA,508,0,0,20,2286,318230140,44.2411464699,-76.5100884381,72.7341995239,0.227,8.4605913162,0.0439974666,0.6842593618,0.4446686776,88.3384206234,3
1698855811.97787,24752,1698855811,977872610,novatel_imu_link,INSPVA,508,0,0,20,2286,318230160,44.2411465134,-76.5100863187,72.7350845337,0.233,8.4649429321,0.0479237251,0.6723729665,0.4401222808,88.3373698206,3
1698855811.99787,24753,1698855811,997872591,novatel_imu_link,INSPVA,508,0,0,20,2286,318230180,44.2411465571,-76.5100841971,72.7359924316,0.231,8.4733839035,0.041835133,0.6588272837,0.4309372963,88.3347745295,3
1698855812.01787,24754,1698855812,17872571,novatel_imu_link,INSPVA,508,0,0,20,2286,318230200,44.2411466008,-76.5100820744,72.7368240356,0.232,8.4786596298,0.0451270454,0.643673079,0.4265990607,88.3310922823,3
1698855812.03787,24755,1698855812,37872552,novatel_imu_link,INSPVA,508,0,0,20,2286,318230220,44.2411466444,-76.51007995,72.7377090454,0.23,8.482542038,0.0423610732,0.6300754228,0.4222829522,88.3257468234,3
1698855812.05787,24756,1698855812,57872533,novatel_imu_link,INSPVA,508,0,0,20,2286,318230240,44.2411466881,-76.5100778247,72.7385177612,0.233,8.4903593063,0.0421367027,0.6183783884,0.4241179231,88.3199945504,3
1698855812.07787,24757,1698855812,77872514,novatel_imu_link,INSPVA,508,0,0,20,2286,318230260,44.2411467325,-76.5100756973,72.7393569946,0.238,8.4956359863,0.0418303534,0.6035559596,0.4243382549,88.3163575227,3
1698855812.09787,24758,1698855812,97872495,novatel_imu_link,INSPVA,508,0,0,20,2286,318230280,44.2411467772,-76.5100735685,72.7401885986,0.234,8.503903389,0.042714525,0.5902071733,0.425601742,88.3139546575,3
1698855812.11787,24759,1698855812,117872476,novatel_imu_link,INSPVA,508,0,0,20,2286,318230300,44.2411468212,-76.5100714374,72.7410354614,0.235,8.513502121,0.042483028,0.5826488182,0.4271250302,88.3103952077,3
1698855812.13787,24760,1698855812,137872457,novatel_imu_link,INSPVA,508,0,0,20,2286,318230320,44.2411468651,-76.5100693041,72.7418746948,0.23,8.5202283859,0.0434248745,0.5807563337,0.426870733,88.3073822648,3
1698855812.15787,24761,1698855812,157872438,novatel_imu_link,INSPVA,508,0,0,20,2286,318230340,44.2411469076,-76.510067169,72.742729187,0.227,8.5293483734,0.0411811508,0.5832639093,0.4279422903,88.3031617367,3
1698855812.17787,24762,1698855812,177872419,novatel_imu_link,INSPVA,508,0,0,20,2286,318230360,44.2411469503,-76.5100650318,72.7434844971,0.229,8.5370664597,0.0381730869,0.5837806239,0.4270722048,88.2997386034,3
1698855812.19787,24763,1698855812,197872400,novatel_imu_link,INSPVA,508,0,0,20,2286,318230380,44.2411469934,-76.5100628926,72.7442474365,0.234,8.5450525284,0.0376996137,0.5819710534,0.4259859741,88.2951987232,3
1698855812.21787,24764,1698855812,217872381,novatel_imu_link,INSPVA,508,0,0,20,2286,318230400,44.2411470372,-76.510060752,72.7449569702,0.241,8.5500688553,0.0354961641,0.5734641579,0.427900025,88.2903040616,3
1698855812.23787,24765,1698855812,237872362,novatel_imu_link,INSPVA,508,0,0,20,2286,318230420,44.2411470821,-76.5100586092,72.7456665039,0.24,8.5612077713,0.036074955,0.5605663542,0.4285807757,88.2864457471,3
1698855812.25787,24766,1698855812,257872343,novatel_imu_link,INSPVA,508,0,0,20,2286,318230440,44.2411471262,-76.5100564645,72.74634552,0.239,8.5678501129,0.0331043638,0.5462250037,0.428596164,88.2806423911,3
1698855812.27787,24767,1698855812,277872323,novatel_imu_link,INSPVA,508,0,0,20,2286,318230460,44.2411471704,-76.5100543174,72.7470245361,0.239,8.5787239075,0.0361585356,0.5374178362,0.4283736283,88.276328636,3
1698855812.29787,24768,1698855812,297872304,novatel_imu_link,INSPVA,508,0,0,20,2286,318230480,44.2411472139,-76.5100521684,72.7477111816,0.236,8.5856933594,0.0331288986,0.5308176848,0.4283699467,88.2709388146,3
1698855812.31787,24769,1698855812,317872285,novatel_imu_link,INSPVA,508,0,0,20,2286,318230500,44.2411472574,-76.5100500167,72.7483825684,0.238,8.5993309021,0.0343356058,0.5222103634,0.4247590689,88.2685484255,3
1698855812.33787,24770,1698855812,337872266,novatel_imu_link,INSPVA,508,0,0,20,2286,318230520,44.241147301,-76.5100478627,72.7490615845,0.237,8.6048812866,0.0343306288,0.5162610028,0.4213867392,88.2681823065,3
